SubjID Var1 Var2 Var3 Patterns FreqPatterns initial_gik1 initial_gik2 initial_gik3 initial_gik4 final_gik1 final_gik2 final_gik3 final_gik4
ID1 3 2 4 324 54 0.25 0.25 0.25 0.25 0 1 0 0
ID10 1 1 3 113 40 0.25 0.25 0.25 0.25 0.3333 0 0 0.6667
ID100 3 1 2 312 41 0.25 0.25 0.25 0.25 0 0.41 0.59 0
ID1000 2 1 3 213 55 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID101 3 2 4 324 54 0.25 0.25 0.25 0.25 0 1 0 0
ID102 2 2 3 223 44 0.25 0.25 0.25 0.25 1 0 0 0
ID103 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0 0.5646 0.4354
ID104 3 2 1 321 41 0.25 0.25 0.25 0.25 0 0.5351 0 0.4649
ID105 1 1 3 113 40 0.25 0.25 0.25 0.25 0.3333 0 0 0.6667
ID106 1 1 4 114 45 0.25 0.25 0.25 0.25 0 0.4651 0 0.5349
ID107 3 1 1 311 39 0.25 0.25 0.25 0.25 0 0.4651 0 0.5349
ID108 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0 0.5646 0.4354
ID109 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0 0.5646 0.4354
ID11 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0.41 0.59 0
ID110 2 2 2 222 30 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID111 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0 0.5646 0.4354
ID112 2 2 2 222 30 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID113 2 2 3 223 44 0.25 0.25 0.25 0.25 1 0 0 0
ID114 3 1 1 311 39 0.25 0.25 0.25 0.25 0 0.4651 0 0.5349
ID115 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0.41 0.59 0
ID116 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0.5351 0 0.4649
ID117 2 2 3 223 44 0.25 0.25 0.25 0.25 1 0 0 0
ID118 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0 0.5646 0.4354
ID119 2 1 3 213 55 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID12 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0 0.5646 0.4354
ID120 3 1 3 313 40 0.25 0.25 0.25 0.25 0.3334 0.5849 0.0818 0
ID121 2 1 2 212 34 0.25 0.25 0.25 0.25 0 0 1 0
ID122 3 1 1 311 39 0.25 0.25 0.25 0.25 0 0.4651 0 0.5349
ID123 2 2 3 223 44 0.25 0.25 0.25 0.25 1 0 0 0
ID124 3 1 3 313 40 0.25 0.25 0.25 0.25 0.3334 0.5849 0.0818 0
ID125 1 1 4 114 45 0.25 0.25 0.25 0.25 0 0.4651 0 0.5349
ID126 3 1 1 311 39 0.25 0.25 0.25 0.25 0 0.4651 0 0.5349
ID127 3 1 2 312 41 0.25 0.25 0.25 0.25 0 0.41 0.59 0
ID128 3 2 2 322 41 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID129 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0.5351 0 0.4649
ID13 1 2 2 122 40 0.25 0.25 0.25 0.25 0.0839 0 0.3334 0.5827
ID130 3 2 2 322 41 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID131 3 1 4 314 40 0.25 0.25 0.25 0.25 0 1 0 0
ID132 2 2 3 223 44 0.25 0.25 0.25 0.25 1 0 0 0
ID133 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0.41 0.59 0
ID134 2 1 3 213 55 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID135 3 1 4 314 40 0.25 0.25 0.25 0.25 0 1 0 0
ID136 3 1 3 313 40 0.25 0.25 0.25 0.25 0.3334 0.5849 0.0818 0
ID137 3 1 4 314 40 0.25 0.25 0.25 0.25 0 1 0 0
ID138 2 2 1 221 26 0.25 0.25 0.25 0.25 0.5904 0 0 0.4096
ID139 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0.5351 0 0.4649
ID14 2 2 4 224 44 0.25 0.25 0.25 0.25 0.565 0.435 0 0
ID140 2 1 2 212 34 0.25 0.25 0.25 0.25 0 0 1 0
ID141 1 1 2 112 34 0.25 0.25 0.25 0.25 0 0 0.5646 0.4354
ID142 3 2 1 321 41 0.25 0.25 0.25 0.25 0 0.5351 0 0.4649
ID143 3 1 1 311 39 0.25 0.25 0.25 0.25 0 0.4651 0 0.5349
ID144 2 2 1 221 26 0.25 0.25 0.25 0.25 0.5904 0 0 0.4096
ID145 1 2 2 122 40 0.25 0.25 0.25 0.25 0.0839 0 0.3334 0.5827
ID146 3 2 3 323 47 0.25 0.25 0.25 0.25 0.565 0.435 0 0
ID147 1 1 3 113 40 0.25 0.25 0.25 0.25 0.3333 0 0 0.6667
